mid,pma_no_fin,qty,avg_qty,aov,cv_ratio,cv,rfm_recency,rfm_frequency,rfm_monetary_sum,rfm_monetary,weekday,weekend,midnight,morning,noon,afternoon,night,area_01,area_02,area_03,area_04,area_05,area_06,area_07,area_09,area_10,area_11,age,home_city,gender
000271c37b1747cf871819fb35c5b2b9,23,2,2,27,0.5,13.5,2,1,54,54,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,24, ,F
000271c37b1747cf871819fb35c5b2b9,25,1,1,49,0.25,12.25,4,1,49,49,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,24, ,F
000271c37b1747cf871819fb35c5b2b9,41,1,1,25,0.25,6.25,4,1,25,25,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,24, ,F
00028c5020f54d228ce180c482331314,38,6,1,100,1,100,0,6,600,100,1,0,0,5,0,1,0,6,0,0,0,0,0,0,0,0,0,56, ,M
0002ebfb68c345edad9a7ef9171d724a,27,6,6,26.330000000000002,0.146,3.84418,5,1,157.98000000000002,157.98000000000002,0,1,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,48,,F
0002ebfb68c345edad9a7ef9171d724a,34,3,1,1.33,0.073,0.09709,0,3,3.99,1.33,0,1,0,3,0,0,0,2,0,0,0,1,0,0,0,0,0,48,,F
0002ebfb68c345edad9a7ef9171d724a,41,14,2.8,27.860000000000003,0.341,9.500260000000003,0,5,390.04,78.00800000000001,0,1,0,4,0,0,1,8,0,0,0,1,0,0,0,0,0,48,,F
0002ebfb68c345edad9a7ef9171d724a,43,2,2,24.5,0.049,1.2005000000000001,1,1,49,49,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,48,,F
0002ebfb68c345edad9a7ef9171d724a,65,14,2.8,34.79,0.341,11.86339,0,5,487.06,97.412,0,1,0,4,0,0,1,11,0,0,0,3,0,0,0,0,0,48,,F
0002ebfb68c345edad9a7ef9171d724a,76,2,2,29,0.049,1.421,5,1,58,58,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,48,,F
0002f39fd6344d808c843954df84f13f,14,4,2,37.75,0.44399999999999995,16.761,1,2,151,75.5,0,1,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,39,高雄市,F
0002f39fd6344d808c843954df84f13f,34,1,1,1,0.11099999999999999,0.11099999999999999,5,1,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,39,高雄市,F
0002f39fd6344d808c843954df84f13f,38,1,1,95,0.11099999999999999,10.544999999999998,1,1,95,95,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,39,高雄市,F
0002f39fd6344d808c843954df84f13f,41,1,1,35,0.11099999999999999,3.885,1,1,35,35,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,39,高雄市,F
0002f39fd6344d808c843954df84f13f,43,2,2,19.5,0.22199999999999998,4.329,5,1,39,39,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,39,高雄市,F
000304a818d443d09b5d6258d64c0ad2,27,2,2,25,0.22199999999999998,5.549999999999999,6,1,50,50,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,,M
000304a818d443d09b5d6258d64c0ad2,40,2,2,29,0.22199999999999998,6.437999999999999,6,1,58,58,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,,M
000304a818d443d09b5d6258d64c0ad2,89,5,2.5,100,0.556,55.60000000000001,5,2,500,250,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,31,,M
0003146446d94d85b91b4c78e11e7aa5,61,2,2,3,1,3,4,1,6,6,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,54,高雄市,F
00033432308c415d8b7a4df979846122,41,1,1,32,1,32,4,1,32,32,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,35,苗栗縣,F
000369dd368a438caafea31a548dd66c,41,1,1,75,1,75,3,1,75,75,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,30, ,F
000373e38fd342f185c266bdc007b93b,15,2,2,42,0.182,7.644,0,1,84,84,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,臺北市,F
000373e38fd342f185c266bdc007b93b,27,1,1,20,0.091,1.8199999999999998,0,1,20,20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,臺北市,F
000373e38fd342f185c266bdc007b93b,29,3,3,21.669999999999998,0.273,5.91591,0,1,65.00999999999999,65.00999999999999,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,28,臺北市,F
000373e38fd342f185c266bdc007b93b,35,2,2,74.5,0.182,13.559,0,1,149,149,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,28,臺北市,F
000373e38fd342f185c266bdc007b93b,41,2,2,35,0.182,6.37,0,1,70,70,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,臺北市,F
000373e38fd342f185c266bdc007b93b,43,1,1,28,0.091,2.548,0,1,28,28,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,臺北市,F
000380b7a46d4d6cb9218e559ef3ff46,200,1,1,null,1,null,4,1,null,null,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,null,,
00039a3c8caf493d8281a2a6a473dd74,29,1,1,49,0.11099999999999999,5.438999999999999,3,1,49,49,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,49,,F
00039a3c8caf493d8281a2a6a473dd74,30,4,2,45,0.44399999999999995,19.979999999999997,2,2,180,90,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,49,,F
00039a3c8caf493d8281a2a6a473dd74,41,1,1,8,0.11099999999999999,0.8879999999999999,2,1,8,8,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,49,,F
00039a3c8caf493d8281a2a6a473dd74,43,1,1,18,0.11099999999999999,1.9979999999999998,6,1,18,18,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,49,,F
00039a3c8caf493d8281a2a6a473dd74,65,2,2,33,0.22199999999999998,7.325999999999999,6,1,66,66,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,49,,F
00039e4a0ec640d2a977c4694a0fc795,43,24,6,21.71,1,21.71,0,4,521.04,130.26,0,1,0,0,2,1,1,4,0,2,9,0,0,0,0,0,0,20,,M
0003a612eb4947c5afbd38c38cd16dba,34,2,2,47,0.16699999999999998,7.848999999999999,0,1,94,94,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,57, , 
0003a612eb4947c5afbd38c38cd16dba,43,10,10,19.2,0.833,15.993599999999999,0,1,192,192,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,57, , 
0003b5c0b2be49a1a0e1f95a429e35ab,25,1,1,49,1,49,0,1,49,49,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,53, , 
0003c468881749d080f7fc952811777e,38,6,2,90,0.15,13.5,3,3,540,180,0,1,0,2,1,0,0,0,1,0,1,0,0,0,1,0,0,52, ,M
0003c468881749d080f7fc952811777e,41,7,3.5,22.71,0.175,3.97425,3,2,158.97,79.485,1,0,0,1,1,0,0,0,0,5,0,0,0,0,0,0,0,52, ,M
0003c468881749d080f7fc952811777e,43,15,5,25,0.375,9.375,2,3,375,125,1,0,0,2,1,0,0,0,0,8,0,0,0,0,0,0,0,52, ,M
0003c468881749d080f7fc952811777e,46,11,1.83,35,0.275,9.625,0,6,385,64.16666666666667,1,0,0,5,0,0,1,0,1,0,5,0,0,0,0,0,0,52, ,M
0003c468881749d080f7fc952811777e,65,1,1,59,0.025,1.475,3,1,59,59,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,52, ,M
000400ffb17a4c90b4c53c18904bca19,65,4,4,31,1,31,2,1,124,124,1,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,50,台中市,F
0004094d28ef48dc840e17a09a022386,19,8,8,12.5,0.889,11.1125,4,1,100,100,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,null,,
0004094d28ef48dc840e17a09a022386,41,1,1,35,0.11099999999999999,3.885,4,1,35,35,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,null,,
000429cdaa6348699bfa427e3134b5ee,14,2,2,30,0.667,20.01,6,1,60,60,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,44, ,M
000429cdaa6348699bfa427e3134b5ee,68,1,1,42,0.33299999999999996,13.985999999999999,1,1,42,42,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,44, ,M
00043b8714454e2e82741ef9454e47cc,38,2,2,125,1,125,0,1,250,250,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,null,,
000442f24df84034b8061b371a063014,40,4,2,23,0.267,6.141,2,2,92,46,0,1,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,35,臺中市,F
000442f24df84034b8061b371a063014,41,6,3,22.669999999999998,0.4,9.068,5,2,136.01999999999998,68.00999999999999,0,1,0,0,2,0,0,0,0,2,3,0,0,0,0,0,0,35,臺中市,F
000442f24df84034b8061b371a063014,43,2,2,10,0.133,1.33,3,1,20,20,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,35,臺中市,F
000442f24df84034b8061b371a063014,46,1,1,65,0.067,4.355,5,1,65,65,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,35,臺中市,F
000442f24df84034b8061b371a063014,65,1,1,49,0.067,3.2830000000000004,3,1,49,49,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,35,臺中市,F
000442f24df84034b8061b371a063014,76,1,1,30,0.067,2.0100000000000002,5,1,30,30,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,35,臺中市,F
00044ca00f10412e9a8ef49ae5fc5a39,34,1,1,2,0.25,0.5,1,1,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,78, , 
00044ca00f10412e9a8ef49ae5fc5a39,46,1,1,55,0.25,13.75,5,1,55,55,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,78, , 
00044ca00f10412e9a8ef49ae5fc5a39,68,1,1,39,0.25,9.75,5,1,39,39,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,78, , 
00044ca00f10412e9a8ef49ae5fc5a39,76,1,1,39,0.25,9.75,5,1,39,39,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,78, , 
000464bbc0774fb2bdea77b13e5d0733,43,4,2,29.5,0.571,16.8445,0,2,118,59,1,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,39, ,F
